tamanho,frequencia
50,25
54,2
34,17
63,13
39,16
46,19
28,17
18,10
18,25
13,20
33,30
69,23
78,29
19,10
13,24
10,29
88,11
61,18
13,12
56,11
79,21
27,18
62,15
67,9
8,26
71,30
2,3
93,27
52,23
86,21
1,20
64,27
43,8
94,11
91,28
9,7
73,8
31,26
19,26
70,15
12,3
41,29
66,30
63,4
39,18
38,23
16,18
43,27
70,7
78,18
76,10
57,3
77,26
50,11
74,8
38,6
25,27
24,2
79,22
34,16
9,3
87,25
17,29
20,30
5,27
11,29
90,30
70,22
51,27
91,17
36,17
31,28
28,29
87,19
54,19
36,15
64,22
83,23
46,3
42,20
15,16
76,21
43,28
25,8
3,24
35,4
91,8
48,26
22,11
55,27
8,4
19,28
90,8
6,27
74,21
69,20
88,3
4,4
82,7
78,27
74,4
51,3
48,27
15,2
78,1
25,6
92,4
62,7
94,26
8,30
87,1
70,14
80,4
34,3
29,3
83,10
45,14
24,2
65,15
6,20
13,23
51,7
34,12
94,16
73,6
90,22
27,25
8,26
87,6
21,11
68,9
16,20
57,22
23,1
61,22
53,29
73,28
66,30
40,21
46,13
85,9
20,18
89,1
59,24
11,11
95,2
70,9
18,8
98,16
46,20
37,22
46,19
82,28
80,5
92,10
50,24
54,27
84,3
1,20
25,23
43,6
31,8
82,15
49,23
87,19
54,2
52,28
90,19
54,25
85,23
6,6
58,3
34,23
21,15
68,29
63,30
72,20
97,1
5,16
42,10
60,2
54,7
71,21
11,27
93,5
2,13
87,14
41,1
28,1
92,25
1,27
87,17
79,4
25,4
78,21
26,28
39,9
89,6
13,16
51,21
11,1
36,30
58,26
15,28
33,5
84,17
84,21
45,4
20,9
3,2
6,7
88,9
72,11
47,19
6,28
96,23
78,21
64,23
83,29
59,21
56,12
69,6
27,13
76,10
2,5
20,9
43,11
48,23
12,11
100,20
5,2
35,6
20,19
38,12
51,18
17,10
15,16
94,8
7,10
23,28
67,24
10,10
52,27
43,10
54,4
13,18
62,16
44,27
44,4
62,4
90,16
55,2
39,11
95,22
20,30
22,21
73,13
82,3
9,26
11,7
96,8
8,13
2,4
51,18
67,10
58,30
63,26
75,23
87,7
55,3
48,8
34,19
100,6
56,7
46,4
9,27
90,1
68,15
97,22
26,4
64,13
33,7
83,2
28,20
19,4
26,15
49,12
70,27
20,4
77,16
19,19
52,21
88,14
67,16
87,30
42,27
64,16
82,22
26,18
79,30
29,1
44,23
96,29
41,27
42,2
68,5
33,20
20,27
49,19
38,23
91,26
61,3
11,17
6,3
29,5
6,10
2,25
58,11
21,26
20,28
84,15
48,17
49,29
68,17
5,19
12,22
67,25
77,3
96,14
97,7
38,18
77,14
62,28
50,20
76,8
3,22
1,24
24,10
65,19
33,11
9,16
34,27
39,25
53,13
50,2
21,21
17,8
37,24
43,2
5,16
54,5
63,29
78,23
11,22
90,5
46,14
5,20
60,13
59,2
13,16
100,5
3,2
77,20
17,21
42,4
90,18
84,12
25,13
100,25
63,4
8,20
90,15
79,21
44,21
16,22
92,20
38,26
17,30
50,26
38,30
96,28
88,26
16,17
25,2
51,15
48,25
25,15
46,26
81,3
6,29
6,16
33,29
4,17
86,19
74,29
28,8
12,25
81,25
65,23
68,14
65,10
15,5
55,29
73,14
11,30
14,14
9,4
54,25
20,24
4,26
58,14
88,14
4,16
42,24
33,3
46,3
16,12
89,1
45,12
23,1
30,27
47,3
77,29
19,7
1,7
85,22
94,29
16,24
1,10
48,23
4,30
78,8
19,6
59,4
62,12
91,9
17,1
27,12
43,16
38,10
71,21
42,6
76,3
14,18
75,10
21,13
19,5
29,11
66,8
31,25
24,10
48,14
85,2
17,20
3,13
10,23
10,5
54,10
71,14
95,30
19,19
55,10
82,12
11,8
57,21
48,21
68,2
49,14
2,14
94,29
42,15
27,12
38,16
12,6
14,9
15,18
78,23
20,26
90,15
52,6
99,14
56,6
32,15
44,30
67,5
46,15
81,21
12,16
97,7
38,1
90,15
80,15
1,7
39,4
99,21
39,18
78,5
55,23
97,16
12,22
