indice,tamanho,frequencia
1,25,25
2,27,2
3,17,17
4,32,13
5,20,16
6,23,19
7,14,17
8,9,10
9,9,25
10,7,20
11,17,30
12,35,23
13,39,29
14,10,10
15,7,24
16,5,29
17,44,11
18,31,18
19,7,12
20,28,11
21,40,21
22,14,18
23,31,15
24,34,9
25,4,26
26,36,30
27,1,3
28,47,27
29,26,23
30,43,21
31,1,20
32,32,27
33,22,8
34,47,11
35,46,28
36,5,7
37,37,8
38,16,26
39,10,26
40,35,15
41,6,3
42,21,29
43,33,30
44,32,4
45,20,18
46,19,23
47,8,18
48,22,27
49,35,7
50,39,18
51,38,10
52,29,3
53,39,26
54,25,11
55,37,8
56,19,6
57,13,27
58,12,2
59,40,22
60,17,16
61,5,3
62,44,25
63,9,29
64,10,30
65,3,27
66,6,29
67,45,30
68,35,22
69,26,27
70,46,17
71,18,17
72,16,28
73,14,29
74,44,19
75,27,19
76,18,15
77,32,22
78,42,23
79,23,3
80,21,20
81,8,16
82,38,21
83,22,28
84,13,8
85,2,24
86,18,4
87,46,8
88,24,26
89,11,11
90,28,27
91,4,4
92,10,28
93,45,8
94,3,27
95,37,21
96,35,20
97,44,3
98,2,4
99,41,7
100,39,27
