indice,tamanho,frequencia
1,35,19
2,217,26
3,196,3
4,66,4
5,127,25
6,116,16
7,167,13
8,202,7
9,25,16
10,8,29
11,214,13
12,111,20
13,196,25
14,1,23
15,115,9
16,185,26
17,59,19
18,242,4
19,231,11
20,8,1
21,7,21
22,139,1
23,241,29
24,98,22
25,56,14
26,186,1
27,136,8
28,196,15
29,241,16
30,142,8
31,89,8
32,174,8
33,195,15
34,244,10
35,238,1
36,107,27
37,235,18
38,237,21
39,26,6
40,162,24
41,221,10
42,31,24
43,86,29
44,185,23
45,129,30
46,248,14
47,130,27
48,234,22
49,49,10
50,73,19
51,250,29
52,128,28
53,241,17
54,101,19
55,219,2
56,123,8
57,191,26
58,104,14
59,171,6
60,94,18
61,226,23
62,199,22
63,189,12
64,23,15
65,170,17
66,28,25
67,42,17
68,216,13
69,95,16
70,188,1
71,121,2
72,79,23
73,218,20
74,152,19
75,101,21
76,44,6
77,129,8
78,4,25
79,52,18
80,236,28
81,141,8
82,104,17
83,89,28
84,148,12
85,118,30
86,69,22
87,141,20
88,246,24
89,2,13
90,201,28
91,211,29
92,241,24
93,132,26
94,34,17
95,200,18
96,53,14
97,244,2
98,124,28
99,94,19
100,142,7
101,241,17
102,106,16
103,209,12
104,107,12
105,1,18
106,139,20
107,202,20
108,85,15
109,154,1
110,206,8
111,163,6
112,141,19
113,47,28
114,24,26
115,142,26
116,218,27
117,239,9
118,9,27
119,242,22
120,19,3
121,223,1
122,116,1
123,194,25
124,72,8
125,69,4
126,205,20
127,48,12
128,75,3
129,43,6
130,66,17
131,244,6
132,169,9
133,166,23
134,76,15
135,180,11
136,128,16
137,30,1
138,80,13
139,88,14
140,204,7
141,67,4
142,65,29
143,187,17
144,54,20
145,111,27
146,250,1
147,58,1
148,102,5
149,10,24
150,246,6
151,115,23
152,130,22
153,110,18
154,214,8
155,250,21
156,205,23
157,133,15
158,58,17
159,167,1
160,102,22
161,148,26
162,83,22
163,162,14
164,16,24
165,77,5
166,248,7
167,225,2
168,79,3
169,220,3
170,80,30
171,241,10
172,191,6
173,107,19
174,65,5
175,3,18
176,225,28
177,10,19
178,210,7
179,247,29
180,146,15
181,44,27
182,223,28
183,250,25
184,181,20
185,131,2
186,97,7
187,89,4
188,53,19
189,173,29
190,111,19
191,50,16
192,27,22
193,100,10
194,130,16
195,5,11
196,157,28
197,103,29
198,73,1
199,41,7
200,220,11
201,208,19
202,201,5
203,87,14
204,55,9
205,173,4
206,215,13
207,239,18
208,89,30
209,226,27
210,176,18
211,125,25
212,137,8
213,17,24
214,11,3
215,35,6
216,43,30
217,138,7
218,69,25
219,86,20
220,130,27
221,66,12
222,87,11
223,30,10
224,61,28
225,242,20
226,200,23
227,228,16
228,35,19
229,142,25
230,27,11
231,11,14
232,19,13
233,222,26
234,38,27
235,33,11
236,30,20
237,151,26
238,238,13
239,20,19
240,141,8
241,145,3
242,244,9
243,94,29
244,76,19
245,137,30
246,30,15
247,230,9
248,28,26
249,12,27
250,76,1
251,158,22
252,4,3
253,106,4
254,212,29
255,203,2
256,49,8
257,202,19
258,108,6
259,30,15
260,43,22
261,62,6
262,191,28
263,27,14
264,234,13
265,207,18
266,233,27
267,76,18
268,65,23
269,123,11
270,26,7
271,167,11
272,11,1
273,3,26
274,237,10
275,186,20
276,82,15
277,101,11
278,103,3
279,17,30
280,82,20
281,249,15
282,29,9
283,56,26
284,159,25
285,229,18
286,223,23
287,121,22
288,92,9
289,47,18
290,54,10
291,51,8
292,93,3
293,210,9
294,23,25
295,115,3
296,167,19
297,165,11
298,241,8
299,100,10
300,11,11
301,48,11
302,203,28
303,149,29
304,236,10
305,63,11
306,26,18
307,157,19
308,207,20
309,24,8
310,57,1
311,207,8
312,103,3
313,69,18
314,223,3
315,187,3
316,6,21
317,3,10
318,193,26
319,92,16
320,121,28
321,220,5
322,26,17
323,200,26
324,84,3
325,131,22
326,45,6
327,199,5
328,37,27
329,222,11
330,79,4
331,182,17
332,214,30
333,155,10
334,33,29
335,53,5
336,140,30
337,185,2
338,200,11
339,211,29
340,160,26
341,173,30
342,142,27
343,242,24
344,177,7
345,46,10
346,111,18
347,41,2
348,183,28
349,171,8
350,65,25
351,17,22
352,247,15
353,207,14
354,141,9
355,139,15
356,218,18
357,117,1
358,102,27
359,87,6
360,67,16
361,7,26
362,166,30
363,107,19
364,5,2
365,178,12
366,149,5
367,152,5
368,36,9
369,213,9
370,102,19
371,103,6
372,157,3
373,60,16
374,2,6
375,136,11
376,129,29
377,167,30
378,113,30
379,176,21
380,188,8
381,62,11
382,127,22
383,123,8
384,183,14
385,87,18
386,157,30
