indice,tamanho,frequencia
1,18,19
2,98,3
3,33,4
4,64,25
5,58,16
6,84,13
7,27,4
8,63,1
9,50,14
10,78,25
11,99,1
12,90,15
13,35,24
14,30,19
15,14,29
16,41,1
17,3,1
18,84,18
19,2,29
20,49,22
21,28,14
22,93,1
23,68,8
24,98,15
25,64,18
26,30,12
27,30,22
28,29,25
29,59,10
30,3,14
31,72,30
32,83,4
33,24,21
34,93,28
35,38,4
36,96,11
37,93,23
38,65,30
39,55,17
40,86,7
41,39,10
42,76,29
43,64,28
44,65,13
45,76,28
46,5,16
47,32,24
48,52,14
49,86,6
50,47,18
51,90,25
52,87,24
53,48,3
54,57,22
55,66,4
56,100,6
57,67,27
58,51,12
59,63,24
60,4,16
61,6,10
62,91,28
63,79,19
64,75,13
65,83,6
66,22,17
67,30,1
68,99,7
69,70,30
70,71,8
71,52,17
72,45,28
73,74,12
74,59,30
75,35,22
76,71,20
77,94,1
78,50,26
79,95,17
80,17,17
81,100,18
82,27,14
83,8,16
84,47,19
85,71,7
86,65,14
87,63,27
88,46,14
89,45,1
90,69,18
91,80,26
92,79,11
93,59,20
94,4,26
95,30,21
96,23,18
97,75,6
98,12,26
99,71,26
100,33,2
101,87,3
102,11,28
103,3,15
104,2,25
105,97,9
106,32,9
107,15,26
108,80,6
109,45,10
110,9,6
111,21,9
112,68,6
113,85,9
114,83,23
115,38,15
116,90,11
117,64,16
118,15,1
119,40,13
120,44,14
121,25,9
122,14,9
123,94,17
124,27,20
125,56,27
126,3,8
127,3,13
128,19,2
129,93,6
130,58,23
131,65,22
132,55,18
133,29,21
134,89,17
135,58,8
136,68,21
137,4,13
138,87,19
139,42,22
140,81,14
141,8,24
142,39,5
143,28,29
144,7,10
145,10,28
146,10,10
147,39,24
148,21,14
149,73,9
150,17,1
151,72,29
152,5,19
153,28,29
154,73,15
155,22,27
156,100,23
157,80,17
158,5,13
159,26,12
160,13,7
161,74,22
162,56,19
163,25,16
164,14,22
165,50,10
166,65,16
167,3,11
168,79,28
169,52,29
170,37,1
171,21,7
172,42,26
173,73,26
174,18,11
175,55,7
176,35,22
177,13,27
178,49,30
179,71,12
180,88,18
181,63,25
182,69,8
183,9,24
184,6,3
185,18,6
186,22,30
187,69,7
188,35,25
189,43,20
190,65,27
191,33,12
192,44,11
193,15,10
194,31,28
195,78,25
196,92,29
197,63,5
198,75,18
199,99,4
200,42,2
201,53,3
202,49,28
203,19,27
204,17,11
205,15,20
206,76,26
207,49,3
208,74,18
209,29,19
210,11,9
211,47,29
212,38,19
213,69,30
214,15,15
215,36,4
216,6,27
217,38,1
218,79,22
219,2,3
220,53,4
221,6,7
222,31,26
223,76,14
224,21,4
225,58,6
226,88,8
227,21,24
228,14,14
229,49,26
230,70,30
231,38,18
232,33,23
233,62,11
234,13,7
235,84,11
236,6,1
237,2,26
238,38,24
239,77,11
240,58,13
241,41,13
242,9,3
243,41,20
244,59,4
245,33,7
246,80,25
247,70,28
248,89,16
249,85,12
250,34,6
251,70,7
252,40,7
253,32,12
254,11,27
255,36,3
256,97,15
257,12,21
258,74,21
259,44,8
260,50,10
261,6,11
262,24,11
263,75,29
264,39,8
265,43,4
266,70,20
267,75,26
268,77,3
269,32,8
270,3,26
271,32,13
272,10,9
273,71,28
274,10,24
275,10,1
276,82,1
277,38,25
278,46,16
279,61,28
280,20,4
281,65,25
282,42,3
283,66,22
284,23,6
285,100,5
286,19,27
287,41,10
288,14,23
289,66,27
290,78,10
291,17,29
292,27,5
293,70,30
294,93,2
295,100,11
296,80,26
297,87,30
298,71,27
299,96,23
300,27,6
301,39,14
302,69,6
303,7,23
304,86,8
305,33,25
306,9,22
307,58,26
308,56,18
309,33,18
310,57,28
311,69,15
312,2,13
313,44,6
314,34,16
315,4,26
316,83,30
317,54,19
318,3,2
319,89,12
320,75,5
321,76,5
322,18,9
323,36,13
324,73,13
325,23,20
326,12,8
327,63,1
328,23,17
329,41,17
330,84,30
331,57,30
332,88,21
333,94,8
334,31,11
335,64,22
336,62,8
337,92,14
338,44,18
339,79,30
340,94,30
341,84,9
342,83,8
343,7,30
344,10,25
345,66,21
346,48,6
347,66,25
348,27,10
349,39,23
350,39,28
351,71,12
352,22,23
353,90,24
354,60,20
355,11,28
356,16,29
357,78,17
358,74,13
359,23,5
360,33,14
361,28,19
362,93,25
363,7,16
364,88,13
365,92,21
366,45,13
367,66,28
368,22,18
369,94,2
370,68,3
371,33,21
372,13,9
373,95,30
374,11,5
375,100,20
376,85,22
377,90,3
378,57,28
379,31,28
380,49,26
381,56,13
382,22,30
383,42,15
384,17,20
385,63,7
386,16,14
387,77,18
388,53,30
389,16,22
390,38,9
391,32,13
392,96,18
393,1,7
394,68,15
395,75,1
396,4,21
397,78,8
398,34,7
399,23,10
400,19,18
401,26,9
402,40,19
403,97,9
404,88,15
405,22,18
406,46,16
407,54,28
408,16,25
409,27,19
410,50,7
411,37,26
412,14,29
413,4,4
414,73,24
415,2,18
416,38,22
417,98,24
418,84,5
419,10,17
420,48,19
421,40,14
422,65,22
423,46,25
424,68,11
425,1,4
426,57,23
427,58,12
428,40,18
429,52,11
430,94,22
431,74,16
432,15,21
433,49,13
434,27,18
435,1,9
436,82,20
437,93,29
438,95,27
439,94,17
440,26,30
441,60,20
442,67,14
443,96,23
444,40,23
445,22,15
446,80,22
447,68,7
448,47,17
449,1,22
450,50,19
451,55,13
452,44,28
453,80,19
454,94,23
455,96,3
456,64,24
457,32,21
458,84,10
459,81,1
460,53,24
461,81,5
462,82,25
463,51,26
464,35,28
465,23,25
466,10,27
467,100,20
468,2,12
469,34,26
470,91,14
471,88,18
472,39,5
473,60,27
474,34,16
475,22,15
476,66,2
477,35,17
478,13,24
479,76,14
480,9,12
481,9,22
482,57,1
483,22,17
484,91,6
485,89,3
486,52,21
487,89,9
488,78,10
489,27,17
490,27,8
491,43,9
492,9,3
493,90,27
494,67,22
495,48,15
496,66,18
497,95,2
498,22,10
499,84,24
500,92,27
