indice,tamanho,frequencia
1,9,19
2,49,3
3,17,4
4,32,25
5,29,16
6,42,13
7,14,4
8,32,1
9,25,14
10,39,25
11,50,1
12,45,15
13,18,24
14,15,19
15,7,29
16,21,1
17,2,1
18,42,18
19,1,29
20,25,22
21,14,14
22,47,1
23,34,8
24,49,15
25,32,18
26,15,12
27,15,22
28,15,25
29,30,10
30,2,14
31,36,30
32,42,4
33,12,21
34,47,28
35,19,4
36,48,11
37,47,23
38,33,30
39,28,17
40,43,7
41,20,10
42,38,29
43,32,28
44,33,13
45,38,28
46,3,16
47,16,24
48,26,14
49,43,6
50,24,18
51,45,25
52,44,24
53,24,3
54,29,22
55,33,4
56,50,6
57,34,27
58,26,12
59,32,24
60,2,16
61,3,10
62,46,28
63,40,19
64,38,13
65,42,6
66,11,17
67,15,1
68,50,7
69,35,30
70,36,8
71,26,17
72,23,28
73,37,12
74,30,30
75,18,22
76,36,20
77,47,1
78,25,26
79,48,17
80,9,17
81,50,18
82,14,14
83,4,16
84,24,19
85,36,7
86,33,14
87,32,27
88,23,14
89,23,1
90,35,18
91,40,26
92,40,11
93,30,20
94,2,26
95,15,21
96,12,18
97,38,6
98,6,26
99,36,26
100,17,2
